zip_code,centroid_x,centroid_y
32059,1605494.1701292775,-1464337.61578476
32064,1630634.2980344195,-1470354.7508296748
32065,1747101.0880170867,-1461192.2316915356
32083,1709231.6258933411,-1476653.2788010796
32162,1754612.996062103,-1599923.8263006348
32216,1766748.0762436104,-1443015.4675094355
32254,1751142.9029109415,-1439297.0950013225
32332,1469639.3977729725,-1464665.3714462656
32435,1331543.823697434,-1483661.1526912234
32503,1229974.156192427,-1521191.975819569
32534,1222278.388097974,-1514234.7253865253
32621,1684200.755257911,-1556985.2741720988
32641,1718771.824322895,-1526821.6409118322
32694,1722477.5344142676,-1507792.27043345
32744,1827313.5632787945,-1576405.043844399
32819,1813606.9956484204,-1639356.6977400833
32904,1887991.2081762152,-1673335.0472824215
33004,1991211.1801851233,-1870469.7321187675
33062,1991756.82278612,-1849448.36130479
33068,1980074.0136547983,-1855421.0439040142
33157,1979653.0813965278,-1924468.3885524261
33168,1987149.1506196717,-1890365.146027593
33322,1975631.1330262707,-1863962.9841482437
33331,1968067.3881016562,-1876020.4140232836
36693,1138465.0441248366,-1515772.209153731
36793,1214913.1766556038,-1258205.1980062916
36854,1384875.7631128936,-1238800.7720017335
36925,1111765.2245543685,-1317510.369842734
35014,1275964.3691818574,-1188820.4401116814
35033,1196370.0489848738,-1135829.0389953244
35051,1245646.787585288,-1211276.5123225136
35068,1219533.043761647,-1169936.7611510938
35087,1231485.6785746797,-1089818.0594325818
35133,1237618.4068482409,-1143449.0995160034
35223,1230176.9575444383,-1181914.4785303383
35458,1134131.6514133401,-1208366.125480337
35481,1111566.014904477,-1209676.4201293176
35579,1172185.0428100096,-1174813.0001089138
35748,1242311.7698705161,-1041537.4368530001
35901,1295496.2095852196,-1108235.664686792
35956,1273566.595394345,-1101217.8407392676
36006,1244122.7019432192,-1275080.0278703833
36043,1278548.9199468824,-1319479.9010886177
36092,1293570.2524139187,-1269878.6741003075
36109,1293024.4297718722,-1295484.621623232
36256,1331832.7295866571,-1215402.6616850595
36311,1357457.1823458676,-1373067.0027211558
36320,1400760.430383943,-1427446.5524519444
35023,1198082.9380132908,-1189267.9378407155
35049,1235447.4408110534,-1128395.3487150595
35111,1200710.0403678888,-1209470.0091565896
35112,1251142.5115977407,-1155434.9310459024
35128,1265033.7868030674,-1169639.023365481
35171,1238536.0625337595,-1249031.7278136292
35453,1175108.2515283574,-1226948.3978633878
35480,1137179.4939120982,-1239671.332575568
35563,1115865.7316994958,-1142041.9316727973
35580,1177666.3392462484,-1166080.513425977
35611,1178893.2062905184,-1046380.5437464387
35660,1123428.6270740577,-1055535.6519419332
35755,1269637.0067822025,-1060966.8956038845
35801,1226623.3530549456,-1043428.7113349568
35950,1261601.7273975273,-1090878.542377353
36005,1348802.3368530858,-1343019.2911630964
36035,1313158.7220163795,-1358890.4088289253
36042,1281613.259301666,-1355718.599001183
36273,1353859.9243572466,-1155628.4726565313
36441,1217490.9828711827,-1458158.5103701819
36482,1173911.0134102935,-1399518.1503154892
36505,1146328.00088792,-1478615.9394081922
36511,1181522.2233541184,-1544883.037200249
36532,1167617.7478798183,-1527998.6782914307
36473,1217233.473048493,-1426925.7383180633
36548,1143955.9050342697,-1419352.257066252
36578,1172898.0422691384,-1498428.8319599845
36613,1133015.4892288854,-1495878.0928063306
36754,1160080.057234414,-1341663.1675975076
36768,1228636.8568212304,-1362089.283430242
36867,1404154.996839328,-1264018.5851983177
36904,1108994.7173128342,-1354978.87672111
36008,1261215.121957733,-1288178.8687147817
32709,1859327.4091884068,-1625077.1199067545
32720,1811482.2622026815,-1576181.1971796635
32732,1842962.4916025463,-1600054.175034243
32746,1818752.9458060246,-1603443.4995600036
32779,1814085.5354433453,-1609745.031200415
32822,1830349.997321837,-1631810.8356095604
32907,1898397.40566703,-1670331.7304858954
33001,1949115.764189874,-2019642.5848017756
33019,1993141.3656388018,-1874182.5489776218
33034,1931971.7176944404,-1956424.0148249143
33043,1902044.6686234844,-2042680.369063618
33150,1988202.850139036,-1894789.444125389
33196,1957968.939799632,-1925058.7154108896
33315,1988798.020514143,-1868051.1625212426
33483,1990162.004331186,-1825197.8218062457
36587,1116685.550841678,-1495415.2304677123
36744,1162252.8395913797,-1281519.2361184251
36773,1187866.1273970008,-1323562.8307971286
36853,1330116.8216464596,-1242280.8364925636
36922,1116201.111694378,-1331874.918657786
35005,1204513.7599665,-1174201.4824456947
35006,1188424.6820262657,-1194684.58901234
35031,1238042.0459865557,-1111589.222109188
35046,1256815.435486641,-1241117.7593646932
35064,1213516.2367323246,-1185980.4959647965
35125,1268377.8304389731,-1160297.0255569112
35235,1236067.1760322961,-1166441.76959371
35406,1165139.3496882664,-1209360.5012716772
35490,1187373.9637712068,-1219019.5211434886
35643,1169244.6640721117,-1058733.7872407527
35671,1192381.6007540328,-1055470.8324068086
35768,1267206.1428769582,-1030781.0166422359
35776,1256528.6931547322,-1045786.5135229104
35954,1282643.7910522146,-1105769.914783688
36013,1318696.5505825363,-1301282.1481393143
36047,1271298.4141285818,-1333556.9726950862
36091,1261444.218262688,-1259932.3806425992
36280,1355418.624734507,-1172793.6666366165
36426,1233336.578646686,-1444206.7374710136
33525,1747424.2560614718,-1667098.82659721
33543,1738204.186762066,-1683941.136971543
33702,1713239.0484832502,-1729203.6690930661
33712,1711897.0545699827,-1742115.7083392304
33714,1709202.3273328142,-1733370.6847217767
33763,1699458.0397614625,-1714380.850276116
33803,1777512.2499125104,-1697600.962404804
33837,1807282.5521718038,-1670761.16150006
33873,1801250.257138792,-1743035.071764928
33897,1795527.282277505,-1663032.5694790285
33928,1829159.0577319805,-1864132.8107304536
33974,1837315.6845694552,-1848125.386466806
34101,1829755.4245554884,-1908060.29255454
34142,1873117.5342271735,-1868386.7210923377
34202,1744425.7387141227,-1772351.2827242562
34251,1766486.136409033,-1771060.9575462132
34287,1765054.030242632,-1807509.8178165397
34475,1732194.5186044003,-1566614.3524064121
34654,1705159.1079033955,-1680036.0286942914
34690,1697589.6458061752,-1693436.2788269096
34759,1824044.271664993,-1678318.514806747
34797,1774933.9187044245,-1616083.945166184
34953,1943007.825204795,-1746981.0614826856
36442,1301716.067120135,-1441467.0392530083
36518,1115498.7656149708,-1424703.9950863756
36567,1195036.6354797666,-1509083.4961667554
36585,1140652.5805381874,-1432489.1157618533
36617,1142516.3864642452,-1505308.4670449493
36751,1179367.109273523,-1377934.1846546773
36875,1394103.6956117358,-1285165.5524259356
35004,1250640.1412945406,-1165642.0961261862
35016,1238363.5395971148,-1086474.6341833172
35019,1226841.6297513049,-1091384.7749619735
35034,1189762.096392659,-1253914.933872689
35057,1199858.3629966162,-1113650.6289715646
35062,1199760.3097415017,-1159616.744170545
35149,1282601.0578141408,-1200907.8135149002
35180,1215504.7362105583,-1146471.661253763
35243,1230466.7309411482,-1187024.870311509
35405,1160563.1361893704,-1233695.0753412247
35457,1137582.1567578844,-1217099.997112335
35503,1171600.6931639535,-1140567.539043809
35548,1128546.7135749038,-1132824.1140013984
35601,1188229.575180447,-1062844.614405069
35763,1237049.7346568806,-1053531.2683993168
35903,1301861.067235481,-1109084.2142902054
32033,1789884.7313446903,-1493554.277999494
32071,1642712.9364150155,-1495950.015342618
32097,1753278.8159701824,-1402891.3795433752
32118,1843474.953559209,-1547348.2421453665
32207,1761144.0551001218,-1442979.3017373434
32221,1740311.7861430724,-1450834.3743651232
32301,1511381.709757568,-1477806.5863821742
32309,1523684.9106882298,-1459211.9957889984
32444,1382104.895328732,-1521839.8097818093
32462,1359920.9429756575,-1489773.449471485
32547,1283101.1182272767,-1512364.3237437687
32567,1297332.1356831943,-1459093.5777185136
32580,1296422.9120483955,-1506141.268115048
32712,1801606.251104037,-1611010.5749871137
32812,1826892.942394954,-1633147.2286389398
32901,1902806.338622242,-1662163.924014737
32948,1909729.5251523026,-1696831.7009508843
33030,1965709.78664177,-1941406.2161781064
33172,1974214.9202063396,-1905383.143110374
33177,1973781.3154103125,-1926898.9893124583
33189,1980701.2307943867,-1928021.366161341
33328,1977422.4628467613,-1872970.940830455
33406,1983160.1037666132,-1803907.9923389645
35973,1324052.3650373432,-1070279.2585846304
35987,1268962.8245902841,-1127599.2625407183
36030,1243494.8908648472,-1362409.3254861746
36037,1266371.3897651967,-1366300.36301853
36108,1278363.82275643,-1303162.9527330762
36269,1350006.1227144275,-1134141.0917606028
36353,1389551.102580355,-1380977.7396902735
36451,1156649.1668167862,-1393577.826830287
36560,1141926.4564096758,-1464070.1811684868
36619,1134771.8775770424,-1519841.0320211821
36720,1193221.7562799486,-1335940.5931523845
36742,1152172.339374731,-1309116.2663902717
36863,1375577.8315791383,-1224133.763582183
36879,1351095.5953526604,-1247099.6702133196
35040,1236632.18341686,-1223895.88009501
35045,1246387.978857945,-1255314.775427416
35054,1267465.5130381314,-1174094.0311638846
35082,1288831.275140109,-1209714.032350517
35085,1237957.4600339637,-1237731.3892728859
35115,1221025.4489578414,-1224487.5203862987
35150,1280082.5497924949,-1207837.818058687
35214,1214665.0201670958,-1174753.3104020162
35469,1138483.8937218054,-1248823.7810416536
35546,1153885.956569593,-1180357.0174463491
85008,-1113138.843323044,-1202163.441027917
85032,-1112366.3747754819,-1184055.991773621
85054,-1106534.9035553976,-1179409.2648704227
85085,-1117030.2186624277,-1168813.4893221105
85138,-1119274.9261094383,-1251507.5277942158
85204,-1095657.8417846756,-1212119.0835339369
85257,-1106449.8342588802,-1203115.281558402
85266,-1103278.6596676235,-1170323.0545594757
